,,"SVP, RWP",Demising Walls,Perimeter Walls And Bulkheads Insulation,Windows,Cable Trays,Perimeter Walls Stud & Board,Plumbing Risers,HVAC Risers,FCU & Ductwork,HVAC 2nd Fix,Pipework,Internal Walls - Frame & One Side,Internal Walls - Closure,Perimeter Bulkheads,Demising Walls - Skim,Internal Walls - Skim,? manual: Pods into final Position,Riser Doors,"? manual: Passive Fire Protection, Acoustic Performance",Electrical Risers,Radiators,Ceilings - Frame,Ceilings - Closure,Ceilings - T&J,Mist Coat,Grills & Diffusers,Underfloor Heating,Subfloor,Hard Flooring,Social Kitchens,Market Kitchens,Carpentry & Joinery,Lobby Doors,Entry Doors,Lift Device,Electrical Fixture,Fire Device,Lightning Fixture,Appliances,? manual: 1st Decoration Coat,? manual: Builders Clean,? manual: Sparkle Clean,Soft Flooring,? manual: Final Decorations,? manual: Final QA Check
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_06,B0601,V,V,94%,V,---,93%,---,---,11%,---,51%,V,V,,17%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0602,V,V,V,V,---,V,---,---,20%,---,39%,99%,97%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0603,V,V,V,V,---,V,---,---,25%,---,34%,98%,97%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0604,V,V,V,V,---,V,---,---,15%,---,,97%,95%,,25%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0605,V,V,91%,V,---,90%,---,---,12%,---,12%,V,V,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0606,V,V,81%,V,---,80%,---,---,,---,13%,99%,98%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0607,98%,V,,,---,,---,---,,---,52%,22%,24%,,,,,---,,---,---,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,Corridor - Social Core,---,V,---,---,99%,---,---,---,---,---,,---,---,---,,---,---,,,---,---,---,,---,,---,---,,,---,---,---,,---,,---,,,---,,,,---,,
,SC Riser - North,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,93%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - South,,---,---,---,---,---,48%,V,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - West,V,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_07,B0701,V,V,V,V,---,V,---,---,11%,---,,98%,96%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0702,V,V,V,V,---,V,---,---,21%,---,,99%,97%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0703,V,V,V,V,---,V,---,---,29%,---,11%,98%,96%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0704,V,V,V,V,---,V,---,---,16%,---,,98%,93%,,28%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0705,V,V,87%,V,---,82%,---,---,,---,16%,V,V,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0706,V,V,81%,V,---,80%,---,---,15%,---,14%,97%,96%,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0707,99%,V,,,---,,---,---,,---,52%,17%,25%,,,15%,,---,,---,---,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,Corridor - Social Core,---,V,---,---,98%,---,---,---,---,---,,---,---,---,,---,---,,,---,---,---,,---,,---,---,,,---,---,---,,---,,---,,,---,,,,---,,
,SC Riser - North,---,---,---,---,---,---,---,V,---,---,---,---,---,---,---,---,---,---,,95%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - South,,---,---,---,---,---,52%,V,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - West,V,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_08,B0801,V,---,95%,V,---,96%,---,---,11%,---,11%,39%,36%,,39%,,,---,,---,,,,,,,---,,,,---,,---,,---,,,,,,,,---,,
,B0802,V,V,83%,V,---,66%,---,---,16%,---,18%,11%,,,24%,,,---,,---,,,,,,,---,,,,---,,---,,---,,,,,,,,---,,
,B0803,V,V,93%,V,---,92%,---,---,,---,19%,,,,59%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0804,V,V,V,V,---,V,---,---,,---,17%,14%,,,93%,,,---,,---,,,,,,,---,,,,---,,---,,---,,---,,,,,,---,,
,B0805,86%,V,91%,V,---,90%,---,---,,---,19%,16%,,,20%,,,---,,---,,,,,,,---,,,,---,,---,,---,,,,,,,,---,,
,B0806,V,V,81%,V,---,80%,---,---,17%,---,21%,29%,,,,,,---,,---,,,,,,,---,,,,---,,---,,---,,,,,,,,---,,
,B0807,83%,V,,50%,---,,---,---,,---,45%,14%,21%,,,,,---,,---,---,,,,,,---,,,,---,,---,,---,,,,,,,,---,,
,Corridor - Social Core,---,V,---,---,97%,---,---,---,---,---,24%,---,---,---,,---,---,,,---,---,---,,---,,---,---,,,---,---,---,,---,,---,---,,---,,,,---,,
,SC Riser - North,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,24%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - South,11%,---,---,---,---,---,42%,V,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,SC Riser - West,V,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_01,A0101,86%,V,75%,60%,---,75%,---,---,V,76%,71%,99%,99%,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,A0102,99%,V,V,V,---,V,---,---,95%,78%,62%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,A0103,92%,V,V,V,---,99%,---,---,91%,76%,85%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,A0104,95%,V,V,V,---,V,---,---,94%,45%,76%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,---,,
,A0105,99%,V,V,V,---,V,---,---,89%,67%,67%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,A0106,92%,V,V,V,---,V,---,---,98%,84%,77%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,A0107,84%,V,V,V,---,V,---,---,93%,64%,62%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,A0108,99%,---,V,V,---,V,---,---,87%,37%,51%,V,V,,24%,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,---,,
,A0109,V,V,V,V,---,V,---,---,V,V,V,V,V,V,96%,V,,---,,---,---,V,V,V,V,50%,---,V,V,---,V,50%,---,V,---,30%,---,,,,,,,,
,A0110,99%,V,V,V,---,V,---,---,86%,56%,79%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,A0111,82%,V,66%,51%,---,66%,---,---,94%,55%,85%,V,V,,,,,---,,---,---,,,,,,---,,,---,,,---,,---,,---,,,,,,,,
,MC Riser - North,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC riser,36%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC riser South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,V,---,V,78%,---,---,---,---,---,92%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,V,---,V,95%,---,---,---,---,---,86%,---,---,---,,---,---,34%,,---,---,,,---,,---,---,,---,---,---,,,---,34%,---,---,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_02,A0201,83%,V,75%,60%,---,75%,---,---,81%,24%,67%,V,99%,,15%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0202,96%,V,98%,V,---,V,---,---,89%,67%,65%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0203,98%,V,98%,V,---,97%,---,---,84%,63%,79%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0204,V,V,99%,V,---,V,---,---,84%,67%,57%,V,87%,,12%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0205,V,V,93%,V,---,92%,---,---,79%,79%,51%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0206,V,V,92%,V,---,91%,---,---,78%,67%,63%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0207,V,V,V,V,---,V,---,---,75%,37%,59%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0208,99%,---,V,V,---,V,---,---,46%,64%,68%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0209,97%,V,V,V,---,V,---,---,82%,12%,48%,V,86%,,36%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0210,99%,V,V,V,---,V,---,---,58%,23%,66%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0211,77%,V,66%,51%,---,66%,---,---,82%,73%,67%,99%,99%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,MC Riser East,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,15%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser North,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,63%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,V,---,V,99%,---,---,---,---,---,89%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,---,,---,,,,,,
,South Corridor,---,V,---,V,99%,---,---,---,---,---,88%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,,---,67%,---,---,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_03,A0301,77%,66%,84%,50%,---,83%,---,---,75%,,54%,93%,90%,,13%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0302,V,V,V,V,---,V,---,---,81%,26%,60%,80%,70%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0303,V,V,V,V,---,V,---,---,82%,51%,52%,76%,59%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0304,99%,V,V,V,---,V,---,---,83%,67%,59%,92%,87%,,17%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0305,V,V,V,V,---,V,---,---,80%,56%,60%,V,V,,31%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0306,V,V,92%,V,---,91%,---,---,75%,,59%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0307,V,V,V,V,---,V,---,---,76%,,60%,V,93%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0308,V,---,V,V,---,V,---,---,74%,,65%,84%,77%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0309,V,V,V,V,---,V,---,---,67%,,74%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0310,78%,V,V,50%,---,92%,---,---,76%,,76%,82%,74%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,MC Riser East,,---,---,---,---,---,---,,---,---,---,---,---,---,---,---,---,,,27%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser North,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,67%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,MC Riser South,,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,---,,
,North Corridor,---,V,---,V,V,---,---,---,---,---,93%,---,---,---,,---,---,,,---,---,,,---,,---,---,,---,---,---,,---,---,---,---,,,---,,,,,,
,South Corridor,---,V,---,V,V,---,---,---,---,---,64%,---,---,---,,---,---,34%,,---,---,,,---,,---,---,,---,---,---,,,---,34%,---,,,---,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N_04,A0401,77%,V,99%,V,---,V,---,---,78%,,23%,92%,87%,,19%,,,---,,---,---,,,,,,,,,---,,,---,,---,---,---,---,,,,,,,
,A0402,V,V,V,V,---,V,---,---,15%,,43%,68%,52%,,21%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0403,V,V,V,V,---,V,---,---,55%,,23%,99%,81%,,19%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0404,V,V,V,V,---,V,---,---,73%,,28%,92%,87%,,20%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,---,,
,A0405,V,V,93%,V,---,92%,---,---,,,30%,V,V,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0406,V,V,92%,V,---,91%,---,---,82%,,50%,V,V,,12%,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
,A0407,V,95%,V,V,---,V,---,---,50%,,48%,V,97%,,,,,---,,---,---,,,,,,,,,---,,,---,,---,,---,,,,,,,,
